title,pageURL,text,imgURL
Node.js(cheerio) を使ってスクレイピング - Qiita,https://qiita.com/bluesDD/items/79bd4b41ded1460fa3d1,Node.js(cheerio) を使ってスクレイピング,https://relay-dsp.ad-m.asia/dmp/sync/bizmatrix?pid=c3ed207b574cf11376&d=x18o8hduaj&uid=&uid-set=1&auid-set=1&auid=qpVwD48nAh
,,"
この記事の目的",https://www.facebook.com/tr?id=1792588824374455&ev=PageView&noscript=1
,,映画.comさんより、公開中の映画のタイトルを20件取得していきます。,https://qiita-user-profile-images.imgix.net/https%3A%2F%2Favatars3.githubusercontent.com%2Fu%2F40015780%3Fv%3D4?ixlib=rb-1.2.2&auto=compress%2Cformat&lossless=0&w=48&s=a911fab54e57c2fa31d612f8bfdfcc02
,,"
開発環境",https://qiita-user-profile-images.imgix.net/https%3A%2F%2Favatars3.githubusercontent.com%2Fu%2F40015780%3Fv%3D4?ixlib=rb-1.2.2&auto=compress%2Cformat&lossless=0&w=75&s=e425e8be4da7efdee892b55890402faa
,,"
使い方",
,,cheerioの公式ページによれば、下記3つの特徴があります。,
,,"❤ Familiar syntax: Cheerio implements a subset of core jQuery. Cheerio removes all the DOM inconsistencies and browser cruft from the jQuery library, revealing its truly gorgeous API.",
,,"ϟ Blazingly fast: Cheerio works with a very simple, consistent DOM model. As a result parsing, manipulating, and rendering are incredibly efficient. Preliminary end-to-end benchmarks suggest that cheerio is about 8x faster than JSDOM.",
,,❁ Incredibly flexible: Cheerio wraps around @FB55's forgiving htmlparser2. Cheerio can parse nearly any HTML or XML document.,
,,ようするに、,
,,"ようです。
それでは、cheerioをインストールしてスクレイピングしていきます。",
,,"
セットアップ",
,,"
デモ",
,,"
終わりに",
,,以上で、欲しいテキストをスクレイピングできました。,
,,"
参考記事",
,,https://qiita.com/ledsun/items/0965a60f9bdff04f2fa0#cheerio,
,,https://github.com/cheeriojs/cheerio,
