title,pageURL,text,imgURL
Yahoo! JAPAN,https://yahoo.co.jp,Yahoo! BB,https://lpt.c.yimg.jp/im_siggx9ovukL_cCqlnDsbcMFcGw---x300-y300/amd/20200420-00000009-jijp-000-view.jpg
,,きっず版,https://s.yimg.jp/images/yjtop/hazard/coronavirus/2020/total0420pc_02.png
,,アプリ版,https://s.yimg.jp/bdv/yahoo/20160727test/1b19b065aa_0704y_donation_bpt.jpg
,,ヘルプ,https://s.yimg.jp/images/weather/general/next/313_day.png
,,ホームページに設定する,https://b4.yahoo.co.jp/b?P=OE_AOzE4My7GAG73Xp0.UwOmMzYuNQAAAADYQNKI&T=16394ngfq%2fX%3d1587363411%2fE%3d2077296265%2fR%3djp_toppage%2fK%3d5%2fV%3d10.1%2fW%3dC%2fY%3djp%2fF%3d2557119341%2fH%3dc2VjdXJlPXRydWUgZHM9IjgyMzk5XzI2OTQ2NiIgYWRjdmVyPTYuOC4x%2fQ%3d-1%2fI%3d1%2fS%3d1%2fJ%3dCAE86264&U=13jlno8ip%2fN%3dYEVHAGRijV8-%2fC%3d300872715.301727827.303642754.315725781%2fD%3dTBP%2fB%3d302471039
,,,https://s.yimg.jp/images/weather/general/next/211_day.png
,,,https://s.yimg.jp/images/shp_edit/other/fc/other/Edit/img_33.png
,,ホームページに設定する,https://s.yimg.jp/images/shp_edit/cms/sale/whatshot/watch/00011/2016/bn/660_200.jpg
,,Yahoo! JAPAN,https://s.yimg.jp/images/shp_edit/other/fc/other/Edit/img_30.jpg
,,プレミアム,https://s.yimg.jp/images/shp_edit/other/fc/other/Edit/img_31.jpg
,,プレミアム,https://s.yimg.jp/images/shp_edit/other/fc/other/Edit/img_32.jpg
,,,https://s.yimg.jp/images/shp_edit/other/fc/other/Edit/img_37.png
,,カード,https://s.yimg.jp/images/shp_edit/other/fc/other/Edit/img_38.png
,,カード,
,,,
,,メール,
,,メール,
,,,
,,トラベル,
,,トラベル,
,,,
,,ヤフオク!,
,,ヤフオク!,
,,,
,,ショッピング,
,,ショッピング,
,,,
,,検索,
,,ウェブ,
,,ウェブ,
,,画像,
,,画像,
,,動画,
,,動画,
,,知恵袋,
,,知恵袋,
,,地図,
,,地図,
,,リアルタイム,
,,リアルタイム,
,,求人,
,,求人,
,,一覧,
,,一覧,
,,,
,,,
,,"._1mzr9cMqFj96B8HnSVnx67{
                display: none;
              }キーワード入力補助を開く検索",
,,キーワード入力補助を開く,
,,検索,
,,検索,
,,JavaScriptの設定について,
,,JavaScriptが無効になっています。すべての機能を利用するためには、有効に設定してください。詳しくは「JavaScriptの設定方法」をご覧ください。,
,,JavaScriptが無効になっています。すべての機能を利用するためには、有効に設定してください。詳しくは「JavaScriptの設定方法」をご覧ください。,
,,お知らせ,
,,自宅で学べる、Yahoo!きっず「おうち学校」,
,,自宅で学べる、Yahoo!きっず「おうち学校」,
,,海の豊かさを次世代へつなぐ　Gyoppy!,
,,海の豊かさを次世代へつなぐ　Gyoppy!,
,,主なサービス,
,,ショッピング,
,,ショッピング,
,,ショッピング,
,,,
,,,
,,PayPayモール,
,,PayPayモール,
,,PayPayモール,
,,,
,,,
,,ヤフオク!,
,,ヤフオク!,
,,ヤフオク!,
,,,
,,,
,,PayPayフリマ,
,,PayPayフリマ,
,,PayPayフリマ,
,,,
,,,
,,ZOZOTOWN,
,,ZOZOTOWN,
,,ZOZOTOWN,
,,,
,,,
,,LOHACO,
,,LOHACO,
,,LOHACO,
,,,
,,,
,,トラベル,
,,トラベル,
,,トラベル,
,,,
,,,
,,一休.com,
,,一休.com,
,,一休.com,
,,,
,,,
,,一休.comレストラン,
,,一休.comレストラン,
,,一休.comレストラン,
,,,
,,,
,,ニュース,
,,ニュース,
,,ニュース,
,,,
,,,
,,天気・災害,
,,天気・災害,
,,天気・災害,
,,,
,,,
,,スポーツナビ,
,,スポーツナビ,
,,スポーツナビ,
,,,
,,,
,,ファイナンス,
,,ファイナンス,
,,ファイナンス,
,,,
,,,
,,テレビ,
,,テレビ,
,,テレビ,
,,,
,,,
,,映画,
,,映画,
,,映画,
,,,
,,,
,,GYAO!,
,,GYAO!,
,,GYAO!,
,,,
,,,
,,ゲーム,
,,ゲーム,
,,ゲーム,
,,,
,,,
,,Yahoo!モバゲー,
,,Yahoo!モバゲー,
,,Yahoo!モバゲー,
,,,
,,,
,,ebookjapan,
,,ebookjapan,
,,ebookjapan,
,,,
,,,
,,占い,
,,占い,
,,占い,
,,,
,,,
,,地図,
,,地図,
,,地図,
,,,
,,,
,,路線情報,
,,路線情報,
,,路線情報,
,,,
,,,
,,Retty,
,,Retty,
,,Retty,
,,,
,,,
,,クラシル,
,,クラシル,
,,クラシル,
,,,
,,,
